参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例
前值,,float64,输出参数,macro_usa_non_farm,美国宏观数据,-3.3
前值,,float64,输出参数,macro_usa_adp_employment,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_core_pce_price,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_real_consumer_spending,美国宏观数据,1.8
前值,,float64,输出参数,macro_usa_trade_balance,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_current_account,美国宏观数据,-1790
前值,,float64,输出参数,macro_usa_ppi,美国宏观数据,-0.3
前值,,float64,输出参数,macro_usa_core_ppi,美国宏观数据,0.4
前值,,float64,输出参数,macro_usa_api_crude_stock,美国宏观数据,-137.0
前值,,float64,输出参数,macro_usa_pmi,美国宏观数据,53.9
前值,,float64,输出参数,macro_usa_ism_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_industrial_production,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_durable_goods_orders,美国宏观数据,5.0
前值,,float64,输出参数,macro_usa_factory_orders,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_services_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_business_inventories,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_ism_non_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_nahb_house_market_index,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_house_starts,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_new_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_building_permits,美国宏观数据,107.0
前值,,float64,输出参数,macro_usa_exist_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_house_price_index,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_spcs20,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_pending_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_phs,美国宏观数据,-1.5
前值,,float64,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_nfib_small_business,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_eia_crude_rate,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_initial_jobless,美国宏观数据,NaN
前值,,float64,输出参数,macro_euro_gdp_yoy,欧洲宏观数据,-0.5
前值,,float64,输出参数,macro_euro_cpi_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_cpi_yoy,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_ppi_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据,0.3
前值,,float64,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_trade_balance,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_current_account_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据,NaN
